Date of Encashment,Name of the Political Party,Denomination
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000
